Administração De Empresas        1      22200775      67       8     6     7     6     3     6     8     12    2     5      0         0       0-0      16 - 12   24 - 20   22 - 13   24 - 19 4 - 3
Administração                    1      10202094      48       2     4     5     3     4     6     6     9     3     4      1         0       1-1      25 - 14   21 - 13   20 - 11    23 - 9  0-0
Administração                    2      10201185      42       4     2     7     3     2     2     6     5     4     4      0         0       1-0      39 - 14   30 - 14   20 - 14    0-0     0-0
Administração                    3      10192435      40       1     2     5     5     3     2     4     10    3     2      0         0       1-0      26 - 13   38 - 17   25 - 10    0-0     0-0
Administração                    4      10202208      21       4     3     1     1     2     3     2     3     0     1      0         0      90 - 21    0-0       0-0       0-0       0-0     0-0
Administração De Empresas        1      22200775      67       8     6     7     6     3     6     8     12    2     5      0         0       0-0      16 - 12   24 - 20   22 - 13   24 - 19 4 - 3
Administração De Empresas        2      10200467      55       5     5     5     6     1     4     6     8     4     7      0         0      90 - 55    0-0       0-0       0-0       0-0     0-0
Administração De Empresas        3      10201542      51       2     5     4     5     4     4     5     8     4     5      0         0      90 - 51    0-0       0-0       0-0       0-0     0-0
Administração De Empresas        4      10150521      44       5     1     6     6     4     3     6     3     2     4      0         0      87 - 42    1-1       1-0       1-1       0-0     0-0
Agronomia                        1      22200332      51       5     3     3     6     3     7     5     8     1     5      0         0       0-0      15 - 10   31 - 18   22 - 12   22 - 11 0 - 0
Agronomia                        2      10192214      35       1     0     4     5     3     4     3     8     0     2      0         0       0-0       19 - 9   25 - 14    12 - 3    24 - 8 10 - 1
Agronomia                        3      22200844      19       0     2     4     1     1     1     2     5     0     0      0         1      74 - 16    15 - 3    1-0       0-0       0-0     0-0
Arquitetura E Urbanismo          1      10201654      80       8     8     5     8     5     9     9     12    5     6      0         0      90 - 80    0-0       0-0       0-0       0-0     0-0
Arquitetura E Urbanismo          2      22202163      71       7     7     8     7     4     8     8     9     2     6      0         0       0-0      24 - 20   21 - 13   24 - 21   21 - 17 0 - 0
Arquitetura E Urbanismo          3      22201601      65       6     5     4     9     4     5     8     12    3     6      0         0      16 - 10    11 - 9    7-3      29 - 25   26 - 17 1 - 1
Arquitetura E Urbanismo          4      22201690      64       8     9     4     8     4     5     7     6     5     3      0         0      90 - 64    0-0       0-0       0-0       0-0     0-0
Arquitetura E Urbanismo          5      22201909      62       7     5     6     7     4     6     6     10    3     5      0         0       0-0      23 - 21   29 - 23   31 - 17    7-1     0-0
Arquitetura E Urbanismo          6      22201834      58       7     7     7     7     3     4     6     8     2     4      0         0       0-0      25 - 16   21 - 11   25 - 18   19 - 13 0 - 0
Arquitetura E Urbanismo          6      22201828      58       5     3     5     6     2     6     9     9     3     6      0         0       0-0      28 - 18   33 - 19   29 - 21    0-0     0-0
Arquitetura E Urbanismo          8      22200667      56       2     4     4     7     3     5     8     10    4     6      0         0       0-0      21 - 13    14 - 6    8-5      20 - 15 27 - 17
Arquitetura E Urbanismo          8      22200948      56       3     5     4     8     4     7     6     10    3     1      0         0       0-0      29 - 23   15 - 12    10 - 9    20 - 6 16 - 6
Arquitetura E Urbanismo         10      10161967      49       5     5     6     4     3     5     2     10    2     5      0         0       0-0      31 - 17   38 - 24    21 - 8    0-0     0-0
Arquitetura E Urbanismo         11      10200923      45       3     5     3     6     4     5     5     8     2     2      1         0      90 - 45    0-0       0-0       0-0       0-0     0-0
Arquitetura E Urbanismo         12      10202246      44       3     2     4     3     3     5     6     9     2     5      0         0       0-0       17 - 7   17 - 10   22 - 10    17 - 8 17 - 9
Arquitetura E Urbanismo         13      22201836      43       2     3     3     6     1     5     4     10    1     3      0         0       0-0       13 - 5   28 - 18   36 - 13    10 - 4  3-3
Arquitetura E Urbanismo         14      10201853      42       4     4     2     7     3     5     4     6     1     2      0         0      90 - 42    0-0       0-0       0-0       0-0     0-0
Arquitetura E Urbanismo         15      22200977      39       4     1     4     6     2     3     7     6     2     2      0         0       0-0       2-1      23 - 10    15 - 8    18 - 9 32 - 11
Arquitetura E Urbanismo         16      10202050      38       1     0     2     6     2     6     2     7     4     3      0         0      79 - 34    2-0       4-2       2-1       3-1     0-0
Arquitetura E Urbanismo         16      10201238      38       2     3     4     6     1     4     5     7     1     2      0         0       0-0       19 - 6   26 - 14   29 - 13    16 - 5  0-0
Arquitetura E Urbanismo         18      22201330      36       2     2     5     6     0     3     7     7     2     0      0         8      85 - 34    3-1       1-1       1-0       0-0     0-0
Arquitetura E Urbanismo         19      10201781      35       2     2     2     5     0     5     4     5     2     4      0         0      90 - 35    0-0       0-0       0-0       0-0     0-0
Arquitetura E Urbanismo         19      10201651      35       1     1     5     3     0     5     3     8     3     2      0         0       0-0      30 - 10   37 - 18    23 - 7    0-0     0-0
Arquitetura E Urbanismo         19      10201439      35       1     3     3     6     2     3     5     6     2     1      0         1       1-0       18 - 8    14 - 8    13 - 5    20 - 6 24 - 8
Arquitetura E Urbanismo         22      22201643      31       0     0     2     4     2     2     4     10    4     0      0         0      90 - 31    0-0       0-0       0-0       0-0     0-0
Biologia                         1      22200196      51       6     2     5     6     1     4     6     11    3     4      0         0       3-2      20 - 12    10 - 8   24 - 16    22 - 9 11 - 4
Biomedicina                      1      22201042      73       7     7     8     9     5     7     7     9     5     5      0         0       1-1      32 - 29   28 - 24   20 - 16    9-3     0-0
Biomedicina                      1      22201991      73       7     8     8     9     4     5     7     10    5     6      0         0       0-0      14 - 14   21 - 19    10 - 9   21 - 19 24 - 12
Biomedicina                      3      16110237      69       7     6     4     9     4     6     9     10    3     7      0         2      90 - 69    0-0       0-0       0-0       0-0     0-0
Biomedicina                      4      22202172      56       3     1     3     8     3     8     5     9     5     6      0         0       0-0      41 - 32   24 - 14   25 - 10    0-0     0-0
Biomedicina                       5   10201780       51       4     3     6    4     3     5       5   9     3      5      0         0       0-0       15 - 7   24 - 13    14 - 8   31 - 20 6 - 3
Biomedicina                       6   22201396       46       5     6     6    5     2     2       4   7     4      2      0         0       10 - 5   13 - 10   18 - 14    11 - 2   38 - 15 0 - 0
Biomedicina                       7   22201520       40       5     2     3    7     0     3       5   7     4      2      0         0       0-0       10 - 5   31 - 19    22 - 6   26 - 10 1 - 0
Biomedicina                       8   10180389       39       4     1     5    3     2     5       4   6     4      3      0         0      90 - 39    0-0       0-0       0-0       0-0     0-0
Biomedicina                       9   10201648       35       1     2     4    3     3     2       6   8     2      2      0         0       0-0      36 - 17   24 - 10    11 - 3    19 - 5  0-0
Biomedicina                      10   16090307       30       4     3     1    2     2     2       3   6     4      3      1         0       0-0       19 - 7   27 - 12   44 - 11    0-0     0-0
Curso de Formação de Oficiais     1   22201299       72       8     6     6    9     5     6       8   11    3      5      0         0      90 - 72    0-0       0-0       0-0       0-0     0-0
Curso de Formação de Oficiais     2   22201280       71       8     9     5    7     3     7       7   11    6      5      0         0      90 - 71    0-0       0-0       0-0       0-0     0-0
Curso de Formação de Oficiais     3   22201662       69       6     6     6    8     4     6       8   12    3      5      0         0      90 - 69    0-0       0-0       0-0       0-0     0-0
Curso de Formação de Oficiais     4   22201727       68       5     5     4    8     5     8       7   10    5      6      0         0      90 - 68    0-0       0-0       0-0       0-0     0-0
Curso de Formação de Oficiais     4   22200638       68       7     6     5    8     4     6       9   9     3      6      0         0       0-0      40 - 30   19 - 16   23 - 19    8-3     0-0
Curso de Formação de Oficiais     6   22200748       67       4     6     5    8     5     8       6   11    5      5      0         0       0-0      22 - 19   28 - 25   16 - 10   17 - 10 7 - 3
Curso de Formação de Oficiais     7   22200902       65       7     7     5    8     4     7       7   9     4      2      0         0       0-0      31 - 26   34 - 26    9-7       16 - 6  0-0
Curso de Formação de Oficiais     7   22200854       65       8     6     4    6     4     5       8   10    3      6      0         0       1-1      15 - 12   34 - 24   24 - 15   16 - 13 0 - 0
Curso de Formação de Oficiais     9   22201897       62       6     8     8    6     4     5       6   9     3      4      0         1      90 - 62    0-0       0-0       0-0       0-0     0-0
Curso de Formação de Oficiais    10   22200955       61       6     4     3    8     3     8       8   8     4      5      0         0       0-0      17 - 13   12 - 11   18 - 12   16 - 12 27 - 13
Curso de Formação de Oficiais    10   22200927       61       5     5     4    8     4     6       6   8     3      7      0         0      90 - 61    0-0       0-0       0-0       0-0     0-0
Curso de Formação de Oficiais    10   22202039       61       5     6     4    4     4     8       7   9     5      4      0         0       0-0      29 - 24   19 - 17   15 - 11    27 - 9  0-0
Curso de Formação de Oficiais    13   22200304       59       3     1     5    9     3     8       7   11    3      6      0         0       0-0      18 - 11   15 - 14   22 - 15   35 - 19 0 - 0
Curso de Formação de Oficiais    13   22200857       59       4     4     6    5     5     5       8   11    3      6      0         0       0-0      38 - 30   25 - 15   26 - 13    1-1     0-0
Curso de Formação de Oficiais    13   22201467       59       6     2     4    8     4     5       8   10    2      6      0         0       0-0       10 - 7   17 - 12   26 - 19   20 - 11 17 - 10
Curso de Formação de Oficiais    13   22200460       59       6     4     6    5     4     6       7   9     4      5      0         0       0-0      26 - 17   19 - 14   21 - 13   20 - 13 4 - 2
Curso de Formação de Oficiais    13   22200718       59       3     4     3    7     4     5       7   11    5      6      0         0       0-0      34 - 27    13 - 8    16 - 9   18 - 10 9 - 5
Curso de Formação de Oficiais    18   22200451       58       6     5     4    8     5     5       6   10    2      3      0         0       0-0      26 - 21   17 - 11   19 - 13    11 - 5 17 - 8
Curso de Formação de Oficiais    18   22202233       58       2     5     6    7     4     6       7   10    6      2      0         1      35 - 20    20 - 9   31 - 26    4-3       0-0     0-0
Curso de Formação de Oficiais    18   22200299       58       7     3     5    7     4     7       7   9     0      5      0         0       0-0       8-7      31 - 23   33 - 17   18 - 11 0 - 0
